,Name,Full_Address,Website,Plus_Code,Rating,Reviews,URL,longitude,latitude,State,Zipcode,Street,City
0,Sentara Virginia Beach General Hospital,"1060 First Colonial Road, Virginia Beach, VA 23454",sentara.com,"VX7F+WF Virginia Beach, Virginia",2.8,160,"https://www.google.com/maps/place/Sentara+Virginia+Beach+General+Hospital/@39.0204529,-79.6700073,7z/data=!4m9!1m3!2m2!1semergency+room+virginia!6e2!3m4!1s0x89baebbb1ef734c3:0x933979b5cd060069!8m2!3d36.8647753!4d-76.0262546?hl=en",-76.0274242,36.8641832,VA,23454,1060 First Colonial Road,Virginia Beach
1,AEHS Annandale Primary Care & Urgent Care,"7432 Little River Turnpike, Annandale, VA 22003",aehealthsystem.com,"RQJX+W9 Annandale, Virginia",3.5,77,"https://www.google.com/maps/place/AEHS+Annandale+Primary+Care+%26+Urgent+Care/@39.0204529,-79.6700073,7z/data=!4m9!1m3!2m2!1semergency+room+virginia!6e2!3m4!1s0x89b64cdadeaf8a83:0x6d4a4b11b09ec5b4!8m2!3d38.832328!4d-77.201613?hl=en",-77.2015098,38.8325027,VA,22003,7432 Little River Turnpike,Annandale
2,Ashburn Medical Center | Kaiser Permanente,"43480 Yukon Dr #100, Ashburn, VA 20147",kp.org,"2G54+9R Ashburn, Virginia",3.6,59,"https://www.google.com/maps/place/Ashburn+Medical+Center+%7C+Kaiser+Permanente/@39.0204529,-79.6700073,7z/data=!4m9!1m3!2m2!1semergency+room+virginia!6e2!3m4!1s0x89b63f22abe6cd71:0x6033c67fccb5eb4f!8m2!3d39.0084997!4d-77.4929251?hl=en",-77.4929251,39.0084997,VA,20147,43480 Yukon Dr #100,Ashburn
3,Titan Dental Care,"21351 Gentry Dr STE 135, Sterling, VA 20166",titandentalcare.com,"2HGV+36 Sterling, Virginia",4.9,275,"https://www.google.com/maps/place/Titan+Dental+Care/@39.0204529,-79.6700073,7z/data=!4m9!1m3!2m2!1semergency+room+virginia!6e2!3m4!1s0x89b639beb8299387:0xd8a28c1035d7924b!8m2!3d39.0252377!4d-77.4068979?hl=en",-77.407372,39.0249579,VA,20166,21351 Gentry Dr STE 135,Sterling
4,Metromed Urgent Care,"952 Edwards Ferry Rd NE, Leesburg, VA 20176",metromeduc.com,"4F86+P4 Leesburg, Virginia",4.9,50,"https://www.google.com/maps/place/Metromed+Urgent+Care/@39.0204529,-79.6700073,7z/data=!4m9!1m3!2m2!1semergency+room+virginia!6e2!3m4!1s0x89b63d6d45f9dbe1:0x8c4f58b0a9c83e20!8m2!3d39.11682!4d-77.5396729?hl=en",-77.5396729,39.11682,VA,20176,952 Edwards Ferry Rd NE,Leesburg
5,Inova Urgent Care - Dulles South,"24801 Pinebrook Rd #110, Chantilly, VA 20152",inova.org,"WFJC+X7 Chantilly, Sully, VA",3.6,101,"https://www.google.com/maps/place/Inova+Urgent+Care+-+Dulles+South/@39.0204529,-79.6700073,7z/data=!4m9!1m3!2m2!1semergency+room+virginia!6e2!3m4!1s0x89b641b035978aa1:0x6f416a4d3871caf0!8m2!3d38.932433!4d-77.5293248?hl=en",-77.5292932,38.9324675,VA,20152,24801 Pinebrook Rd #110,Chantilly
6,Centra Gretna Medical Center,"291 McBride Ln, Gretna, VA 24557",centrahealth.com,"XJ2F+98 Gretna, Virginia",3.5,27,"https://www.google.com/maps/place/Centra+Gretna+Medical+Center/@39.0204529,-79.6700073,7z/data=!4m9!1m3!2m2!1semergency+room+virginia!6e2!3m4!1s0x89b2ad2bab81faa7:0x694962a01b9da59!8m2!3d36.9509739!4d-79.3766496?hl=en",-79.3771144,36.951981,VA,24557,291 McBride Ln,Gretna
7,Reston Pediatrics,"6 Pidgeon Hill Dr #170, Sterling, VA 20165",restonpediatrics.com,"2HPP+WV Potomac Falls, Potomac, VA",,,"https://www.google.com/maps/place/Reston+Pediatrics/@39.0204529,-79.6700073,7z/data=!4m9!1m3!2m2!1semergency+room+virginia!6e2!3m4!1s0x89b6399082bdf86d:0x98705975e34585be!8m2!3d39.0373241!4d-77.4127545?hl=en",-77.4127297,39.0373216,VA,20165,6 Pidgeon Hill Dr #170,Sterling
8,Bedford Memorial Hospital,"1613 Oakwood St, Bedford, VA 24523",bedfordmemorial.org,"9F2J+HX Bedford, Center, VA",3.2,23,"https://www.google.com/maps/place/Bedford+Memorial+Hospital/@39.0204529,-79.6700073,7z/data=!4m9!1m3!2m2!1semergency+room+virginia!6e2!3m4!1s0x884d2fd2f35952ef:0x8059660c942687d5!8m2!3d37.3514019!4d-79.5175735?hl=en",-79.5175735,37.3514019,VA,24523,1613 Oakwood St,Bedford
9,Hampton VA Medical Center,"100 Emancipation Dr, Hampton, VA 23667",hampton.va.gov,"2M79+W3 Hampton, Virginia",2.7,294,"https://www.google.com/maps/place/Hampton+VA+Medical+Center/@39.0204529,-79.6700073,7z/data=!4m9!1m3!2m2!1semergency+room+virginia!6e2!3m4!1s0x89ba84cc934199b5:0xd46a4ece349b00b0!8m2!3d37.0148085!4d-76.3323279?hl=en",-76.3333604,37.0164356,VA,23667,100 Emancipation Dr,Hampton
